Site,SVSubjects,AESubjects,Rate,ProbabilityUnderreporting
138,42,1.0,0.023809523809523808,0.7198950912625567
161,41,1.0,0.024390243902439025,0.7073913372075269
46,35,1.0,0.02857142857142857,0.6223529669382084
575,34,1.0,0.029411764705882353,0.6064495082275494
667,27,1.0,0.037037037037037035,0.4811138801979933
460,26,1.0,0.038461538461538464,0.4612858895494636
483,26,1.0,0.038461538461538464,0.4612858895494636
253,20,1.0,0.05,0.33410161365254953
184,30,2.0,0.06666666666666667,0.2616172688634337
644,29,2.0,0.06896551724137931,0.24537606477463558
207,28,2.0,0.07142857142857142,0.22930219016446496
345,26,2.0,0.07692307692307693,0.19781944876742286
368,26,2.0,0.07692307692307693,0.19781944876742286
506,25,2.0,0.08,0.18249588466940547
299,35,3.0,0.08571428571428572,0.1511483544287925
92,22,2.0,0.09090909090909091,0.13873431817036808
437,27,3.0,0.1111111111111111,0.07288698736408428
414,24,3.0,0.125,0.050688588846260485
