Site,PlannedVisits,AEs,Rate,ProbabilityUnderreporting
138,76,1,0.013157894736842105,0.8614828543681017
161,74,1,0.013513513513513514,0.8512487124736887
575,64,1,0.015625,0.7890411429591266
667,50,1,0.02,0.6641439406546182
483,50,1,0.02,0.6641439406546182
460,45,1,0.022222222222222223,0.6068994638852292
253,40,1,0.025,0.542520568385791
184,58,2,0.034482758620689655,0.4874409660379848
345,49,2,0.04081632653061224,0.3797250203987015
506,48,2,0.041666666666666664,0.36736498965209896
92,43,2,0.046511627906976744,0.30515601291578576
368,49,3,0.061224489795918366,0.1778445182041961
46,66,4,0.06060606060606061,0.17559022582072947
414,47,3,0.06382978723404255,0.1601518985466137
437,53,4,0.07547169811320754,0.08927224310245474
207,50,4,0.08,0.07339509682339918
644,52,5,0.09615384615384616,0.028747474596750755
299,64,6,0.09375,0.024655124859406574
